OBJECTID	FORMULARIO	GRAVEDAD	CLASE_ACC
416633	A001128606	CON HERIDOS	CHOQUE
416640	A001127576	SOLO DANOS	CHOQUE
416641	A001132059	CON HERIDOS	CHOQUE
416646	A001135559	SOLO DANOS	CHOQUE
416650	A001175946	CON HERIDOS	CHOQUE
416651	A001134414	CON HERIDOS	CHOQUE
416652	A001128200	SOLO DANOS	CHOQUE
416657	A001127945	CON HERIDOS	ATROPELLO
416658	A001128559	CON HERIDOS	CHOQUE
416660	A001181220	SOLO DANOS	CHOQUE
416661	A001182095	SOLO DANOS	CHOQUE
416662	A001179808	CON HERIDOS	ATROPELLO
416663	A001181165	SOLO DANOS	CHOQUE
416664	A001181604	CON HERIDOS	ATROPELLO
416665	A001181435	CON HERIDOS	VOLCAMIENTO
416666	A001182384	CON HERIDOS	CHOQUE
416667	A001177743	SOLO DANOS	CHOQUE
416668	A001183307	CON HERIDOS	CHOQUE
416669	A001182717	SOLO DANOS	CHOQUE
416670	A001179634	SOLO DANOS	CHOQUE
416671	A001180198	SOLO DANOS	CHOQUE
416672	A001182788	SOLO DANOS	CHOQUE
416673	A001178226	SOLO DANOS	CHOQUE
416674	A001183027	CON HERIDOS	CHOQUE
416675	A001182615	CON HERIDOS	CHOQUE
416676	A001182966	CON HERIDOS	CHOQUE
416677	A001183194	CON HERIDOS	CHOQUE
416678	A001177362	SOLO DANOS	CHOQUE
416679	A001181870	SOLO DANOS	CHOQUE
416680	A001180381	SOLO DANOS	CHOQUE
416681	A001177776	SOLO DANOS	CHOQUE
416682	A001182789	SOLO DANOS	CHOQUE
416683	A001177749	SOLO DANOS	CHOQUE
416684	A001177114	SOLO DANOS	CHOQUE
416685	A001182779	CON HERIDOS	CHOQUE
416686	A001177722	SOLO DANOS	CHOQUE
416687	A001175920	SOLO DANOS	CHOQUE
416688	A001177688	SOLO DANOS	CHOQUE
416689	A001177728	SOLO DANOS	CHOQUE
416690	A001177846	SOLO DANOS	CHOQUE
416691	A001180129	SOLO DANOS	CHOQUE
416692	A001177593	SOLO DANOS	CHOQUE
416693	A001180183	SOLO DANOS	CHOQUE
416694	A001177387	SOLO DANOS	CHOQUE
416695	A001178185	SOLO DANOS	CHOQUE
416696	A001178057	SOLO DANOS	CHOQUE
416697	A001182995	CON HERIDOS	CHOQUE
416698	A001177271	SOLO DANOS	CHOQUE
416699	A001177088	SOLO DANOS	CHOQUE
416700	A001183291	SOLO DANOS	CHOQUE
416701	A001179802	SOLO DANOS	CHOQUE
416702	A001179929	SOLO DANOS	CHOQUE
416703	A001179988	SOLO DANOS	CHOQUE
416704	A001185227	CON HERIDOS	CHOQUE
416705	A001232979	SOLO DANOS	CHOQUE
416706	A001183638	CON HERIDOS	CHOQUE
416707	A001233354	CON HERIDOS	CHOQUE
416708	A001233490	SOLO DANOS	CHOQUE
416709	A001183467	CON HERIDOS	ATROPELLO
416710	A001233677	CON HERIDOS	CHOQUE
416711	A001234256	SOLO DANOS	CHOQUE
416712	A001181780	SOLO DANOS	CHOQUE
416713	A001233751	CON HERIDOS	CHOQUE
416714	A001234062	SOLO DANOS	CHOQUE
416715	A001232968	SOLO DANOS	CHOQUE
416716	A001181776	CON HERIDOS	ATROPELLO
416717	A001234273	CON HERIDOS	CHOQUE
416718	A001234128	SOLO DANOS	CHOQUE
416719	A001181104	SOLO DANOS	CHOQUE
416720	A001182703	SOLO DANOS	CHOQUE
416721	A001185233	SOLO DANOS	CHOQUE
416722	A001180203	SOLO DANOS	CHOQUE
416723	A001234439	SOLO DANOS	CHOQUE
416724	A001234022	CON HERIDOS	CHOQUE
416725	A001178997	SOLO DANOS	CHOQUE
416726	A001232831	SOLO DANOS	CHOQUE
416727	A001234657	CON HERIDOS	ATROPELLO
416728	A001183342	SOLO DANOS	CHOQUE
