"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
403336;"2020/02/13 00:00:00+00";2020;"A001132688";"ATROPELLO"
403337;"2020/02/13 00:00:00+00";2020;"A001133470";"CAIDA DE OCUPANTE"
403338;"2020/02/13 00:00:00+00";2020;"A001132840";"CHOQUE"
403339;"2020/02/13 00:00:00+00";2020;"A001132521";"CHOQUE"
403340;"2020/02/14 00:00:00+00";2020;"A001132655";"ATROPELLO"
403341;"2020/02/14 00:00:00+00";2020;"A001133257";"ATROPELLO"
403342;"2020/02/13 00:00:00+00";2020;"A001132797";"CHOQUE"
403343;"2020/02/13 00:00:00+00";2020;"A001133108";"CHOQUE"
403344;"2020/02/14 00:00:00+00";2020;"A001133743";"CHOQUE"
403345;"2020/02/13 00:00:00+00";2020;"A001133100";"CHOQUE"
403346;"2020/02/14 00:00:00+00";2020;"A001133448";"CHOQUE"
403347;"2020/02/14 00:00:00+00";2020;"A001133721";"CHOQUE"
