"id"	"release_date"	"name"	"popularity"
"3Dv1eDb0MEgF93GpLXlucZ"	"2019-11-07"	"Say So"	86
"3AJwUDP919kvQ9QcozQPxg"	"2000-07-10"	"Yellow"	85
"26QApq0cuO9brJigr0C0W4"	"2020-11-27"	"HACIENDO QUE ME AMAS"	85
"4DuUwzP4ALMqpquHU0ltAB"	"2020-10-22"	"Tyler Herro"	85
"2mt1IqcFyY1zmYZT8Q3xw9"	"2020-08-21"	"hot girl bummer"	85
"2MbdDtCv5LUVjYy9RuGTgC"	"2020-06-24"	"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"	85
"0sY6ZUTh4yoctD8VIXz339"	"2020-12-11"	"champagne problems"	85
"3GVkPk8mqxz0itaAriG1L7"	"2017-08-25"	"Everybody Dies In Their Nightmares"	85
"5zj8WNkBrEzlI5FKeYV4ol"	"2020-10-31"	"La Luz"	85
"7bCfHiRcfUjG0YVVNUL7Ve"	"2020-09-25"	"E-GIRLS ARE RUINING MY LIFE!"	85
"7qiZfU4dY1lWllzX7mPBI3"	"2017-03-03"	"Shape of You"	85
"1IIKrJVP1C9N7iPtG6eOsK"	"2020-05-08"	"Go Crazy"	85
"5hslUAKq9I9CG2bAulFkHN"	"1963-11-24"	"It's the Most Wonderful Time of the Year"	85
"2kS6td1yvmpNgZTt1q5pQq"	"2008-09-23"	"Hayloft"	85
"5psEZhQu6lukjhavJo4AbC"	"2020-10-23"	"SO DONE"	85
"3Z8FwOEN59mRMxDCtb8N0A"	"2020-05-01"	"Be Kind (with Halsey)"	85
"60ynsPSSKe6O3sfwRnIBRf"	"2019-11-07"	"Streets"	85
"6KfoDhO4XUWSbnyKjNp9c4"	"2020-03-20"	"Maniac"	85
"0JP9xo3adEtGSdUEISiszL"	"2018-03-16"	"Moonlight"	85
"0e7ipj03S05BNilyu5bRzt"	"2018-04-27"	"rockstar (feat. 21 Savage)"	85
"4TnjEaWOeW0eKTKIEvJyCa"	"2018-10-05"	"Falling"	85
"5yY9lUy8nbvjM1Uyo1Uqoc"	"2020-01-10"	"Life Is Good (feat. Drake)"	85
"4C6BlqqMwjFzOXzqpTeoWR"	"2020-11-20"	"Ponte Pa' Mi"	85
"4ZRrLHqzhGRXYj2qcB4s5S"	"2020-07-09"	"Tattoo - Remix with Camilo"	85
"6WrI0LAC5M1Rw2MnX2ZvEg"	"2019-10-31"	"Don't Start Now"	85
"2gMXnyrvIjhVBUZwvLZDMP"	"2019-11-22"	"Before You Go"	85
"7vQbuQcyTflfCIOu3Uzzya"	"1957-12-02"	"Jingle Bell Rock"	85
"0JAZWvvqttGFm4UMDsPQXC"	"2020-09-04"	"Despeinada"	85
"79s5XnCN4TJKTVMSmOx8Ep"	"2019-07-26"	"Dior"	85
"43zdsphuZLzwA9k4DJhU0I"	"2019-03-29"	"when the party's over"	85
"2lCkncy6bIB0LTMT7kvrD1"	"2020-03-19"	"Azul"	85
"3U4isOIWM3VvDubwSI3y7a"	"2013-08-30"	"All of Me"	85
"26w9NTiE9NGjW1ZvIOd1So"	"2020-11-27"	"BOOKER T"	85
"27ycaQnQAxaPiyeg3nr2aB"	"2020-08-14"	"Midnight Sky"	85
"5nujrmhLynf4yMoMtj8AQF"	"2020-03-27"	"Levitating (feat. DaBaby)"	85
"7a53HqqArd4b9NF4XAmlbI"	"2020-09-18"	"Kings & Queens"	85
"6K4t31amVTZDgR3sKmwUJJ"	"2015-07-17"	"The Less I Know The Better"	85
"2GiJYvgVaD2HtM8GqD9EgQ"	"2015-10-16"	"Electric Love"	85
"5FVd6KXrgO9B3JPmC8OPst"	"2013-09-09"	"Do I Wanna Know?"	85
"017PF4Q3l4DBUiWoXk4OWT"	"2020-03-27"	"Break My Heart"	85
"3PfIrDoz19wz7qK7tYeu62"	"2020-03-27"	"Don't Start Now"	85
"5a1iz510sv2W9Dt1MvFd5R"	"2012-11-09"	"It's Beginning to Look a Lot like Christmas"	85
"6FuGJB290AQMAHTfjOYVaK"	"2020-11-06"	"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior"	84
"3KkXRkHbMCARz0aVfEt68P"	"2018-12-14"	"Sunflower - Spider-Man: Into the Spider-Verse"	84
"7AFASza1mXqntmGtbxXprO"	"2018-03-16"	"changes"	84
"5SWnsxjhdcEDc7LJjq9UHk"	"2020-10-02"	"Runnin"	84
"2ZRo7axmMPeSVUvDbGkJah"	"2018-03-16"	"Hope"	84
"2bRKxuH1o7pTmb1y4GfdEc"	"2017-01-08"	"Clean White Noise - Loopable with no fade"	84
"2etHQJxIbV0soyPhelVs9Y"	"2021-01-07"	"Best Friend (feat. Doja Cat)"	84
"2qxmye6gAegTMjLKEBoR3d"	"2018-11-16"	"Let Me Down Slowly"	84
"3jjBPF4NDMCU51psU8JPpR"	"2021-01-15"	"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix"	84
"08mG3Y1vljYA6bvDt4Wqkj"	"1980-07-25"	"Back In Black"	84
"43CIWpJaJHRcI4mUSjqgc2"	"2021-01-15"	"Bad Boy (with Young Thug)"	84
"4kKdvXD0ez7jp1296JmAts"	"1994-11-08"	"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)"	84
"57RA3JGafJm5zRtKJiKPIm"	"2019-03-22"	"Are You Bored Yet? (feat. Clairo)"	84
"39Yp9wwQiSRIDOvrVg7mbk"	"2020-04-24"	"THE SCOTTS"	84
"22Sh5dlwbERqJAq1fZk5b2"	"2020-11-13"	"De Cora <3"	84
"6J2LdBN97cDWn0MLxYh9HB"	"2020-05-15"	"July"	84
"24ySl2hOPGCDcxBxFIqWBu"	"2020-05-22"	"Rain On Me (with Ariana Grande)"	84
"4DpNNXFMMxQEKl7r0ykkWA"	"2015-08-14"	"Play Date"	84
"0nrRP2bk19rLc0orkWPQk2"	"2013-01-01"	"Wake Me Up"	84
"7xapw9Oy21WpfEcib2ErSA"	"2011-01-01"	"Mistletoe"	84
"7w87IxuO7BDcJ3YUqCyMTT"	"2011-05-23"	"Pumped Up Kicks"	84
"0rKtyWc8bvkriBthvHKY8d"	"2018-10-26"	"SLOW DANCING IN THE DARK"	84
"6Pgmqg15yVexuOgtzuxwoX"	"2020-10-26"	"Dancing in My Room"	84
"1H7KnK26kc1YyellpbINEn"	"2020-07-03"	"The Woo (feat. 50 Cent & Roddy Ricch)"	84
"7fBv7CLKzipRk6EC6TWHOB"	"2015-08-28"	"The Hills"	84
"35RJhm1pEovTBwnNR0zWad"	"2020-07-16"	"GREECE (feat. Drake)"	84
"7CHi4DtfK4heMlQaudCuHK"	"2019-10-11"	"Lose Control"	84
"5DqdesEfbRyOlSS3Tf6c29"	"2019-11-08"	"It's You"	84
"2uFaJJtFpPDc5Pa95XzTvg"	"1959-01-01"	"Let It Snow! Let It Snow! Let It Snow!"	84
"2Oycxb8QbPkpHTo8ZrmG0B"	"2020-11-27"	"Prisoner (feat. Dua Lipa)"	84
"2DEZmgHKAvm41k4J3R2E9Y"	"2020-02-28"	"Safaera"	84
"6Ozh9Ok6h4Oi1wUSLtBseN"	"2019-09-27"	"BOP"	84
"1Cv1YLb4q0RzL6pybtaMLo"	"2019-01-06"	"Sunday Best"	84
"2wrJq5XKLnmhRXHIAf9xBa"	"2019-10-04"	"10,000 Hours (with Justin Bieber)"	84
"527k23H0A4Q0UJN3vGs0Da"	"2020-03-13"	"After Party"	84
"2dpaYNEQHiRxtZbfNsse99"	"2018-08-17"	"Happier"	84
"2VxeLyX666F8uXCJ0dZF8B"	"2018-10-05"	"Shallow"	84
"6N22FZs2ZhPBYi3b9XPajV"	"2019-10-04"	"Still Don't Know My Name"	84
"3e9HZxeyfWwjeyPAMmWSSQ"	"2019-02-08"	"thank u, next"	84
"0TK2YIli7K1leLovkQiNik"	"2019-06-21"	"Señorita"	84
"7BKLCZ1jbUBVqRi2FVlTVw"	"2016-07-29"	"Closer"	84
"62vpWI1CHwFy7tMIcSStl8"	"2014-12-09"	"No Role Modelz"	84
"7ce20yLkzuXXLUhzIDoZih"	"2019-11-19"	"Before You Go"	84
"1JSTJqkT5qHq8MDJnJbRE1"	"1983-06-17"	"Every Breath You Take"	84
"6wJYhPfqk3KGhHRG76WzOh"	"2020-02-07"	"Blueberry Faygo"	84
"1VLtjHwRWOVJiE5Py7JxoQ"	"2020-05-15"	"Martin & Gina"	84
"4ZLzoOkj0MPWrTLvooIuaa"	"2018-10-08"	"Get You The Moon (feat. Snøw)"	84
"30KctD1WsHKTIYczXjip5a"	"2020-12-11"	"Tequila Shots"	83
"75JFxkI2RXiU7L9VXzMkle"	"2002-08-08"	"The Scientist"	83
"60a0Rd6pjrkxjPbaKzXjfq"	"2000-10-24"	"In the End"	83
"4lsHZ92XCFOQfzJFBTluk8"	"2020-03-27"	"You Got It"	83
"4Z5FyQlevoHoa5FsIVKZju"	"2020-08-04"	"PRACTICE"	83
"127QTOFJsJQp5LbJbu3A1y"	"2020-04-03"	"Toosie Slide"	83
"4aarlAfLKVCTxUDNgbwhjH"	"2020-11-20"	"Cry Baby (feat. DaBaby)"	83
"69Y5IZuBvGyzySFt5x7kCq"	"2020-12-03"	"Más De La Una"	83
"1ko2lVN0vKGUl9zrU0qSlT"	"1985"	"Just the Two of Us (feat. Bill Withers)"	83
"78qd8dvwea0Gosb6Fe6j3k"	"2020-01-23"	"Boss Bitch"	83
"1HNkqx9Ahdgi1Ixy2xkKkL"	"2014-06-21"	"Photograph"	83
"2WfaOiMkCvy7F5fcp2zZ8L"	"1985-06-01"	"Take on Me"	83
"3gD4J3RUHy4OUuZ3qAiaiG"	"2020-06-11"	"Caramelo"	83
"6Gg1gjgKi2AK4e0qzsR7sd"	"2019-10-04"	"Bandit (with YoungBoy Never Broke Again)"	83
"34gCuhDGsG4bRPIf9bb02f"	"2014-06-21"	"Thinking out Loud"	83
"2P91MQbaiQOfbiz9VqhqKQ"	"2018-05-31"	"I Like Me Better"	83
"1rqqCSm0Qe4I9rUvWncaom"	"2018-06-22"	"High Hopes"	83
"3QzAOrNlsabgbMwlZt7TAY"	"2019-06-28"	"Ballin' (with Roddy Ricch)"	83
"6DCZcSspjsKoFjzjrWoCdn"	"2018-06-29"	"God's Plan"	83
"7xQAfvXzm3AkraOtGPWIZg"	"2019-09-06"	"Wow."	83
"22LAwLoDA5b4AaGSkg6bKW"	"2020-02-06"	"Blueberry Faygo"	83
"6gi6y1xwmVszDWkUqab1qw"	"2019-12-27"	"OUT WEST (feat. Young Thug)"	83
"7dt6x5M1jzdTEt8oCbisTK"	"2018-04-27"	"Better Now"	83
"4UKCKdYiLN6IMA5ZESUTL7"	"2018-03-16"	"the remedy for a broken heart (why am I so in love)"	83
"3qgPpwtuRu5oP8EtFSj8HE"	"2020-11-06"	"SO DONE"	83
"4Of7rzpRpV1mWRbhp5rAqG"	"2019-05-17"	"Bruises"	83
"4jvjzW7Hm0yK4LvvE0Paz9"	"2018-11-09"	"Falling Down - Bonus Track"	83
"3H3r2nKWa3Yk5gt8xgmsEt"	"2019-12-11"	"This City"	83
"1SV1fxF65n9NhRHp3KlBuu"	"1980-05-16"	"Wonderful Christmastime - Edited Version / Remastered 2011"	83
"2tFwfmceQa1Y6nRPhYbEtC"	"2020-05-09"	"CÓMO SE SIENTE - Remix"	83
"0fea68AdmYNygeTGI4RC18"	"2019-06-28"	"LA CANCIÓN"	83
